offline_datapoint_7 1596502079 0.000
offline_datapoint_12 1596502079 0.041
offline_datapoint_4 1596502081 0.000
offline_datapoint_2 1596502081 9324.000
offline_datapoint_6 1596502081 11745734656.000
offline_datapoint_0 1596502079 4576.452
offline_datapoint_8 1596502079 43.325
offline_datapoint_11 1596502079 0.248
offline_datapoint_3 1596502079 0.005
offline_datapoint_5 1596502079 12.509
offline_datapoint_1 1596502079 5.729
offline_datapoint_10 1596502081 0.000
offline_datapoint_7 1596502082 0.000
offline_datapoint_12 1596502082 0.000
offline_datapoint_4 1596502084 0.000
offline_datapoint_2 1596502084 9270.000
offline_datapoint_6 1596502084 11814547456.000
offline_datapoint_0 1596502082 20575.840
offline_datapoint_8 1596502082 11.003
offline_datapoint_11 1596502082 0.036
offline_datapoint_3 1596502082 0.001
offline_datapoint_5 1596502082 14.752
offline_datapoint_1 1596502082 6.317
offline_datapoint_10 1596502084 0.000
offline_datapoint_7 1596502085 0.000
offline_datapoint_12 1596502085 0.000
offline_datapoint_4 1596502087 0.000
offline_datapoint_2 1596502087 9276.000
offline_datapoint_6 1596502087 11814608896.000
offline_datapoint_0 1596502085 14360.943
offline_datapoint_8 1596502085 10.980
offline_datapoint_11 1596502085 0.309
offline_datapoint_3 1596502085 0.006
offline_datapoint_5 1596502085 15.582
offline_datapoint_1 1596502085 9.228
offline_datapoint_10 1596502087 0.000
offline_datapoint_7 1596502088 0.000
offline_datapoint_12 1596502088 0.000
offline_datapoint_4 1596502090 0.000
offline_datapoint_2 1596502090 9288.000
offline_datapoint_6 1596502090 11812990976.000
offline_datapoint_0 1596502088 2632.480
offline_datapoint_8 1596502088 0.334
offline_datapoint_11 1596502088 0.191
offline_datapoint_3 1596502088 0.004
offline_datapoint_5 1596502088 11.877
offline_datapoint_1 1596502088 7.756
offline_datapoint_10 1596502090 0.000
offline_datapoint_7 1596502091 0.000
offline_datapoint_12 1596502091 0.000
offline_datapoint_4 1596502093 0.000
offline_datapoint_2 1596502093 9297.000
offline_datapoint_6 1596502093 11845509120.000
offline_datapoint_0 1596502091 15472.188
offline_datapoint_8 1596502091 7.983
offline_datapoint_11 1596502091 0.137
offline_datapoint_3 1596502091 0.003
offline_datapoint_5 1596502091 13.662
offline_datapoint_1 1596502091 8.900
offline_datapoint_10 1596502093 0.000
offline_datapoint_7 1596502094 0.000
offline_datapoint_12 1596502094 0.000
offline_datapoint_4 1596502096 0.000
offline_datapoint_2 1596502096 9298.000
offline_datapoint_6 1596502096 11834150912.000
offline_datapoint_0 1596502094 1160.521
offline_datapoint_8 1596502094 0.000
offline_datapoint_11 1596502094 0.062
offline_datapoint_3 1596502094 0.001
